,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,39,(DISTANT EXPLOSION),fear,0,0,0,1,0,0,1,0
1,42,STRUCKER ON PA: Report to your stations immediately.,anticipation,0,1,0,0,0,0,0,0
2,44,This is not a drill.,Neutral,0,0,0,0,0,0,0,0
3,46,We are under attack!,anger,1,0,0,1,0,0,0,0
4,47,(SOLDIERS SHOUTING INDISTINCTLY),anger,2,0,0,0,0,1,1,0
5,49,We are under attack!,anger,1,0,0,1,0,0,0,0
6,58,(GRUNTS),Neutral,0,0,0,0,0,0,0,0
7,62,(POWERING UP),Neutral,0,0,0,0,0,0,0,0
8,65,(YELLS),anger,1,0,0,1,0,0,1,0
9,68,(GRUNTING),Neutral,0,0,0,0,0,0,0,0
10,79,(SCREAMING),anger,1,0,1,1,0,0,1,0
11,100,(ROARING),Neutral,0,0,0,0,0,0,0,0
12,112,- Shit! - Language!,anger,1,0,1,0,0,0,0,0
13,114,"Jarvis, what's the view from upstairs?",Neutral,0,0,0,0,0,0,0,0
14,116,JARVIS: The central building is protected by some kind of energy shield.,joy,0,0,0,0,1,0,0,1
15,120,Strucker's technology is well beyond any other Hydra base we have taken.,fear,0,0,0,1,0,0,0,1
16,124,(GRUNTING),Neutral,0,0,0,0,0,0,0,0
17,127,Loki's sceptre must be here.,Neutral,0,0,0,0,0,0,0,0
18,129,Strucker couldn't mount this defence without it.,Neutral,0,0,0,0,0,0,0,0
19,132,At long last.,anticipation,0,1,0,0,0,0,0,0
20,134,(SOLDIER SHOUTING IN GERMAN),anger,2,0,0,0,0,1,1,0
21,145,"""At long last"" is lasting a little long, boys.",anticipation,0,2,0,0,0,0,0,0
22,147,- (GROANS) - (GRUNTS),disgust,0,0,1,0,0,1,0,0
23,152,Yeah. I think we lost the element of surprise.,fear,1,0,1,2,1,1,2,0
24,155,(SOLDIERS GROANING),sadness,1,0,1,0,0,2,0,0
25,156,"Wait a second. No one else is going to deal with the fact that Cap just said ""Language""?",anticipation,0,3,0,0,1,0,1,3
26,160,I know.,Neutral,0,0,0,0,0,0,0,0
27,165,(ALL GRUNTING),Neutral,0,0,0,0,0,0,0,0
28,167,(SIGHS) Just slipped out.,surprise,0,0,0,0,0,0,1,0
29,175,Who gave the order to attack?,anger,1,0,0,1,0,0,0,0
30,177,"Herr Strucker, it's the Avengers.",Neutral,0,0,0,0,0,0,0,0
31,179,They landed in the far woods. The perimeter guard panicked.,fear,0,0,0,2,0,0,0,1
32,182,They have to be after the sceptre.,Neutral,0,0,0,0,0,0,0,0
33,186,- Can we hold them? - They're the Avengers.,Neutral,0,0,0,0,0,0,0,0
34,188,Deploy the rest of the tanks.,Neutral,0,0,0,0,0,0,0,0
35,190,Concentrate fire on the weak ones.,fear,0,0,0,1,0,0,0,0
36,192,A hit may make them close ranks.,anger,1,0,0,0,0,0,0,0
37,196,Everything we have accomplished...,joy,0,0,0,0,1,0,0,0
38,198,But we're on the verge of our greatest breakthrough.,anticipation,0,1,0,1,0,0,0,0
39,200,Then let's show them what we have accomplished.,joy,0,0,0,0,1,0,0,1
40,202,Send out the twins.,Neutral,0,0,0,0,0,0,0,0
41,205,STRUCKER: It's too soon.,Neutral,0,0,0,0,0,0,0,0
42,207,DR. LIST: It's what they signed up for.,Neutral,0,0,0,0,0,0,0,0
43,210,My men can hold them.,Neutral,0,0,0,0,0,0,0,0
44,215,(SOLDIER SHOUTING),anger,2,0,0,0,0,1,1,0
45,219,"JARVIS: Sir, the city is taking fire.",fear,0,0,0,1,0,0,0,1
46,222,(PEOPLE SCREAMING),anger,1,0,1,1,0,0,1,0
47,224,"Well, we know Strucker's not going to worry about civilian casualties.",anticipation,0,1,0,1,0,1,0,0
48,227,Send in the Iron Legion.,trust,0,0,0,0,0,0,0,1
49,234,This quadrant is unsafe. Please back away.,fear,0,0,0,1,0,0,0,0
50,238,We are here to help.,Neutral,0,0,0,0,0,0,0,0
51,241,This quadrant is unsafe. Please back away.,fear,0,0,0,1,0,0,0,0
52,243,(ALL CLAMOURING),Neutral,0,0,0,0,0,0,0,0
53,244,Please back away.,Neutral,0,0,0,0,0,0,0,0
54,246,We wish to avoid collateral damage.,anger,1,0,1,1,0,1,0,1
55,247,Costel! We will inform you when this current conflict is resolved.,anger,1,0,0,1,0,1,0,1
56,251,"- We are here to help. - ALL: Avengers, go home!",Neutral,0,0,0,0,0,0,0,0
57,253,(CROWD CHEERING),anticipation,0,1,0,0,1,0,1,1
58,255,We are here to help.,Neutral,0,0,0,0,0,0,0,0
59,257,STRUCKER: We will not yield!,Neutral,0,0,0,0,0,0,0,0
60,260,The Americans sent their circus freaks to test us.,Neutral,0,0,0,0,0,0,0,0
61,264,We will send them back in bags.,Neutral,0,0,0,0,0,0,0,0
