,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,6,"Okay, hold on, don't shoot.",anger,1,0,0,1,0,0,0,0
1,10,- You see where you're going? - Mm-hmm.,Neutral,0,0,0,0,0,0,0,0
2,12,Okay.,Neutral,0,0,0,0,0,0,0,0
3,13,"Now, let's worry about how you get there.",anticipation,0,1,0,1,0,1,0,0
4,16,Gotta move your foot here.,Neutral,0,0,0,0,0,0,0,0
5,17,Point your toe this way.,Neutral,0,0,0,0,0,0,0,0
6,19,Your hips here.,Neutral,0,0,0,0,0,0,0,0
7,21,Okay?,Neutral,0,0,0,0,0,0,0,0
8,23,- Can you see? - Yeah.,Neutral,0,0,0,0,0,0,0,0
9,25,- Are you sure? - Mm-hmm.,Neutral,0,0,0,0,0,0,0,0
10,26,How about now? Can you see now?,Neutral,0,0,0,0,0,0,0,0
11,27,- No. - How about now?,Neutral,0,0,0,0,0,0,0,0
12,31,All right.,Neutral,0,0,0,0,0,0,0,0
13,32,Ready? Three fingers.,anticipation,0,1,0,0,0,0,0,0
14,35,Nice!,Neutral,0,0,0,0,0,0,0,0
15,38,"Nice throw, kiddo.",Neutral,0,0,0,0,0,0,0,0
16,40,Here you go.,Neutral,0,0,0,0,0,0,0,0
17,41,"Hey, you guys want mayo? Or mustard?",Neutral,0,0,0,0,0,0,0,0
18,43,Or both?,Neutral,0,0,0,0,0,0,0,0
19,45,Who puts mayo on a hot dog?,anger,1,0,0,0,0,0,0,0
20,47,Probably your brothers.,Neutral,0,0,0,0,0,0,0,0
21,48,"Two mustard, please! Thanks, Mama.",Neutral,0,0,0,0,0,0,0,0
22,51,Got it!,Neutral,0,0,0,0,0,0,0,0
23,52,"Nate, mayo or mustard?",Neutral,0,0,0,0,0,0,0,0
24,54,How about ketchup?,Neutral,0,0,0,0,0,0,0,0
25,56,"Or ketchup. I got ketchup, too.",Neutral,0,0,0,0,0,0,0,0
26,58,Mind your elbow.,anger,1,0,0,0,0,0,0,0
27,62,"Good job, hawk-eye.",anticipation,0,1,0,0,1,0,1,1
28,63,Go get your arrow.,Neutral,0,0,0,0,0,0,0,0
29,68,"Hey, guys!",Neutral,0,0,0,0,0,0,0,0
30,69,Enough practice. Soup's on!,Neutral,0,0,0,0,0,0,0,0
31,72,All right.,Neutral,0,0,0,0,0,0,0,0
32,73,We're coming. We're hungry.,anticipation,0,1,0,0,0,0,0,0
33,75,"Lila, let's go.",Neutral,0,0,0,0,0,0,0,0
34,80,Lila?,Neutral,0,0,0,0,0,0,0,0
35,84,Honey?,Neutral,0,0,0,0,0,0,0,0
36,89,"Hey, babe?",Neutral,0,0,0,0,0,0,0,0
37,100,Babe?,Neutral,0,0,0,0,0,0,0,0
38,103,Babe?,Neutral,0,0,0,0,0,0,0,0
39,106,Boys!,Neutral,0,0,0,0,0,0,0,0
40,109,Boys!,Neutral,0,0,0,0,0,0,0,0
41,112,Laura!,Neutral,0,0,0,0,0,0,0,0
42,157,You don't need to do that.,Neutral,0,0,0,0,0,0,0,0
43,159,Because you're just holding the position.,Neutral,0,0,0,0,0,0,0,0
44,163,"Oh, yeah.",Neutral,0,0,0,0,0,0,0,0
45,164,That was close.,Neutral,0,0,0,0,0,0,0,0
46,167,That's a goal. We are now one apiece.,Neutral,0,0,0,0,0,0,0,0
47,169,I would like to try again.,Neutral,0,0,0,0,0,0,0,0
48,173,We're tied up. Feel the tension?,anger,1,0,0,0,0,0,0,0
49,175,It's fun.,anticipation,0,1,0,0,1,0,0,0
50,177,That was terrible. Now you have a chance to win.,anger,1,0,1,1,0,1,1,0
51,180,And you've won.,Neutral,0,0,0,0,0,0,0,0
52,182,Congratulations.,Neutral,0,0,0,0,0,0,0,0
53,184,Fair game.,Neutral,0,0,0,0,0,0,0,0
54,186,Good sport.,anticipation,0,1,0,0,1,0,1,1
55,188,You have fun?,anticipation,0,1,0,0,1,0,0,0
56,192,It was fun.,anticipation,0,1,0,0,1,0,0,0
57,216,This thing on?,Neutral,0,0,0,0,0,0,0,0
58,220,"Hey, Miss Potts. Pep.",Neutral,0,0,0,0,0,0,0,0
59,224,If you find this recording...,Neutral,0,0,0,0,0,0,0,0
60,226,don't post it on social media.,Neutral,0,0,0,0,0,0,0,0
61,229,It's gonna be a real tearjerker.,trust,0,0,0,0,0,0,0,1
62,231,I don't know if you're ever gonna see these.,Neutral,0,0,0,0,0,0,0,0
63,234,I don't even know if you're still...,Neutral,0,0,0,0,0,0,0,0
64,236,"Oh, God, I hope so.",anticipation,0,2,0,1,2,0,1,2
65,239,Today's day 21.,Neutral,0,0,0,0,0,0,0,0
66,242,"No, 22.",Neutral,0,0,0,0,0,0,0,0
67,245,"You know, if it wasn't for the existential terror...",fear,0,0,0,1,0,0,0,0
68,247,"of staring into the literal void of space, I'd say I'm feeling a little better today.",anticipation,0,1,0,0,1,0,0,1
69,252,"Infection's run its course, thanks to the Blue Meanie back there.",sadness,0,0,0,0,0,1,0,0
70,256,You'd love her.,joy,0,0,0,0,1,0,0,0
71,257,Very practical.,Neutral,0,0,0,0,0,0,0,0
72,259,Only a tiny bit sadistic.,Neutral,0,0,0,0,0,0,0,0
73,266,"So, the fuel cells were cracked during battle...",anger,1,0,0,0,0,0,0,0
74,268,and we figured out a way to reverse the ion charge...,Neutral,0,0,0,0,0,0,0,0
75,271,and bought ourselves about 48 hours of flight time.,anticipation,0,1,0,0,0,0,0,0
76,277,But it's now dead in the water.,Neutral,0,0,0,0,0,0,0,0
77,279,Thousand light years from the nearest 7-Eleven.,Neutral,0,0,0,0,0,0,0,0
78,284,Oxygen will run out tomorrow morning...,anticipation,0,1,0,0,0,0,0,0
79,288,and that'll be it.,Neutral,0,0,0,0,0,0,0,0
80,293,"Pep, I know I said no more surprises...",fear,0,0,0,1,1,0,1,0
81,296,but I got to say I was really hoping to pull off one last one.,Neutral,0,0,0,0,0,0,0,0
82,300,But it looks like...,Neutral,0,0,0,0,0,0,0,0
83,302,"Well, you know what it looks like.",Neutral,0,0,0,0,0,0,0,0
84,305,Don't feel bad about this.,anger,1,0,1,1,0,1,0,0
85,307,"I mean, actually, if you grovel for a couple weeks...",Neutral,0,0,0,0,0,0,0,0
86,311,and then move on with enormous guilt...,disgust,0,0,1,0,0,1,0,0
87,319,I should probably lie down for a minute. Go rest my eyes.,anger,1,0,1,0,0,1,0,0
88,326,Please know...,Neutral,0,0,0,0,0,0,0,0
89,329,"when I drift off, it'll be like every night lately.",Neutral,0,0,0,0,0,0,0,0
