,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,26,This is the Asgardian refugee vessel Statesman.,sadness,0,0,0,0,0,1,0,0
1,33,"We are under assault. I repeat, we are under assault.",anger,2,0,0,2,0,0,0,0
2,37,"The engines are dead, life support failing.",Neutral,0,0,0,0,0,0,0,0
3,40,Requesting aid from any vessel within range.,Neutral,0,0,0,0,0,0,0,0
4,43,We are 22 jump points out of Asgard.,joy,0,0,0,0,1,0,0,0
5,48,Our crew is made up of Asgardian families.,trust,0,0,0,0,0,0,0,1
6,50,We have very few soldiers here.,anger,1,0,0,0,0,1,0,0
7,52,"This is not a warcraft. I repeat, this is not a warcraft.",Neutral,0,0,0,0,0,0,0,0
8,69,Hear me and rejoice.,anticipation,0,1,0,0,1,0,1,1
9,76,You have had the privilege of being saved by the Great Titan.,joy,0,0,0,0,1,0,0,1
10,84,You may think this is suffering.,Neutral,0,0,0,0,0,0,0,0
11,87,No.,Neutral,0,0,0,0,0,0,0,0
12,89,It is salvation.,anticipation,0,1,0,0,1,0,0,1
13,96,Universal scales tip toward balance because of your sacrifice.,Neutral,0,0,0,0,0,0,0,0
14,103,Smile.,joy,0,0,0,0,1,0,1,1
15,105,"For even in death, you have become Children of Thanos.",anger,1,1,1,1,0,1,1,0
16,126,I know what it's like to lose.,anger,1,0,1,1,0,1,1,0
17,130,To feel so desperately that you're right...,Neutral,0,0,0,0,0,0,0,0
18,134,"yet to fail, nonetheless.",Neutral,0,0,0,0,0,0,0,0
19,144,It's frightening.,fear,0,0,0,1,0,1,1,0
20,147,Turns the legs to jelly.,Neutral,0,0,0,0,0,0,0,0
21,151,"But I ask you, to what end?",Neutral,0,0,0,0,0,0,0,0
22,155,"Dread it, run from it...",anticipation,0,1,0,1,0,0,0,0
23,159,destiny arrives all the same.,anticipation,0,1,0,0,0,0,0,0
24,162,"And now, it's here.",Neutral,0,0,0,0,0,0,0,0
25,165,Or should I say...,Neutral,0,0,0,0,0,0,0,0
26,168,I am.,Neutral,0,0,0,0,0,0,0,0
27,175,You talk too much.,Neutral,0,0,0,0,0,0,0,0
28,178,The Tesseract.,Neutral,0,0,0,0,0,0,0,0
29,179,Or your brother's head.,Neutral,0,0,0,0,0,0,0,0
30,186,I assume you have a preference.,Neutral,0,0,0,0,0,0,0,0
31,190,"Oh, I do.",Neutral,0,0,0,0,0,0,0,0
32,193,Kill away.,fear,0,0,0,1,0,1,0,0
33,210,"All right, stop!",Neutral,0,0,0,0,0,0,0,0
34,214,We don't have the Tesseract.,Neutral,0,0,0,0,0,0,0,0
35,217,It was destroyed on Asgard.,Neutral,0,0,0,0,0,0,0,0
36,229,You really are the worst brother.,trust,0,0,0,0,0,0,0,1
37,237,"I assure you, brother...",trust,0,0,0,0,0,0,0,2
38,239,the sun will shine on us again.,anticipation,0,1,0,0,1,0,1,1
39,243,"Your optimism is misplaced, Asgardian.",anger,1,1,1,0,1,0,1,1
40,246,"Well, for one thing, I'm not Asgardian.",Neutral,0,0,0,0,0,0,0,0
41,251,And for another...,Neutral,0,0,0,0,0,0,0,0
42,254,we have a Hulk.,disgust,0,0,1,0,0,0,0,0
43,268,Let him have his fun.,anticipation,0,1,0,0,1,0,0,0
44,322,Allfathers...,Neutral,0,0,0,0,0,0,0,0
45,325,let the dark magic flow through me one last...,sadness,0,0,0,0,0,1,0,0
46,329,time.,anticipation,0,1,0,0,0,0,0,0
47,345,That was a mistake.,sadness,0,0,0,0,0,1,0,0
48,352,No!,Neutral,0,0,0,0,0,0,0,0
49,363,You're going to die for that.,fear,0,0,0,1,0,1,0,0
50,377,My humble personage...,disgust,0,0,1,0,0,1,0,0
51,380,bows before your grandeur.,Neutral,0,0,0,0,0,0,0,0
52,386,No other being has ever had the might...,Neutral,0,0,0,0,0,0,0,0
53,389,"nay, the nobility...",anticipation,0,1,0,0,0,0,0,1
54,391,"to wield not one, but two Infinity Stones.",anger,1,1,0,0,1,0,0,1
55,400,The universe lies within your grasp.,anger,1,0,1,0,0,1,0,0
56,443,There are two more stones on Earth.,anger,1,0,0,0,0,0,0,0
57,447,"Find them, my children, and bring them to me on Titan.",Neutral,0,0,0,0,0,0,0,0
58,451,"Father, we will not fail you.",trust,0,0,0,0,0,0,0,1
59,453,If I might interject.,Neutral,0,0,0,0,0,0,0,0
60,456,"If you're going to Earth, you might want a guide.",trust,0,0,0,0,0,0,0,1
61,460,I do have a bit of experience in that arena.,Neutral,0,0,0,0,0,0,0,0
62,463,If you consider failure experience.,disgust,0,0,1,1,0,1,0,0
63,465,I consider experience experience.,Neutral,0,0,0,0,0,0,0,0
64,469,Almighty Thanos...,Neutral,0,0,0,0,0,0,0,0
65,471,"I, Loki, prince of Asgard...",Neutral,0,0,0,0,0,0,0,0
66,479,Odinson...,Neutral,0,0,0,0,0,0,0,0
67,484,the rightful king of Jotunheim...,Neutral,0,0,0,0,0,0,0,0
68,487,god of mischief...,anticipation,0,1,0,1,1,0,0,1
69,490,do hereby pledge to you...,joy,0,0,0,0,1,0,0,1
70,492,my undying fidelity.,joy,0,1,0,0,2,1,0,2
71,507,Undying?,anticipation,0,1,0,0,1,1,0,1
72,512,You should choose  your words more carefully.,trust,0,0,0,0,0,0,0,1
73,520,Subtitle Sync by: Dream_Ports Instagram: @dream_ports,Neutral,0,0,0,0,0,0,0,0
74,536,You...,Neutral,0,0,0,0,0,0,0,0
75,539,will never be...,Neutral,0,0,0,0,0,0,0,0
76,543,a god.,anticipation,0,1,0,1,1,0,0,1
77,554,No!,Neutral,0,0,0,0,0,0,0,0
78,570,No resurrections this time.,anticipation,0,1,0,0,0,0,0,0
79,596,No. Loki.,Neutral,0,0,0,0,0,0,0,0
80,637,"Seriously, you don't have any money?",anger,1,1,0,0,1,0,1,1
81,640,Attachment to the material is detachment from the spiritual.,Neutral,0,0,0,0,0,0,0,0
82,644,I'll tell the guys at the deli.,anger,1,0,1,1,0,1,0,0
