,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,61,(BUCKY SCREAMING),anger,1,0,1,1,0,0,1,0
1,65,(CONTINUES SCREAMING),anger,1,1,1,1,0,0,1,1
2,68,- (KARPOV SPEAKING RUSSIAN) - (PANTING),Neutral,0,0,0,0,0,0,0,0
3,70,<i>Longing</i>,Neutral,0,0,0,0,0,0,0,0
4,73,<i>Rusted</i>,Neutral,0,0,0,0,0,0,0,0
5,75,<i>Seventeen</i>,Neutral,0,0,0,0,0,0,0,0
6,76,<i>Daybreak</i>,Neutral,0,0,0,0,0,0,0,0
7,79,<i>Furnace</i>,Neutral,0,0,0,0,0,0,0,0
8,81,<i>Nine</i>,Neutral,0,0,0,0,0,0,0,0
9,83,<i>Benign</i>,Neutral,0,0,0,0,0,0,0,0
10,85,<i>Homecoming</i>,Neutral,0,0,0,0,0,0,0,0
11,88,<i>One</i>,Neutral,0,0,0,0,0,0,0,0
12,91,<i>Freight car</i>,Neutral,0,0,0,0,0,0,0,0
13,101,"Good morning, Soldier.",anger,1,1,0,0,1,1,1,1
14,104,Ready to comply.,anticipation,0,1,0,0,0,0,0,0
15,107,I have a mission for you.,Neutral,0,0,0,0,0,0,0,0
16,110,Sanction and extract.,Neutral,0,0,0,0,0,0,0,0
17,112,No witnesses.,trust,0,0,0,0,0,0,0,1
18,156,Well done Soldier.,anger,1,0,0,0,0,1,0,0
19,187,(INDISTINCT CHATTER),Neutral,0,0,0,0,0,0,0,0
20,201,"STEVE: (ON RADIO) <i>All right, what do you see?</i>",Neutral,0,0,0,0,0,0,0,0
21,203,Standard beat cops.,fear,0,0,0,1,0,0,0,1
22,206,Small station.,Neutral,0,0,0,0,0,0,0,0
23,210,Quiet street.,sadness,0,0,0,0,0,1,0,0
24,212,<i>It's a good target.</i>,anticipation,0,1,0,0,1,0,1,1
25,213,"There's an ATM on the south corner, which means?",Neutral,0,0,0,0,0,0,0,0
26,216,Cameras.,Neutral,0,0,0,0,0,0,0,0
27,217,<i>Both cross streets are one-way.</i>,anger,1,0,0,1,0,1,0,0
28,219,"So, compromised escape routes.",anticipation,0,1,0,1,0,0,0,0
29,221,STEVE: Means our guy doesn't care about being seen.,Neutral,0,0,0,0,0,0,0,0
30,223,He isn't afraid to make a mess on the way out.,disgust,0,0,1,1,0,0,0,0
31,225,You see that Range Rover halfway up the block?,Neutral,0,0,0,0,0,0,0,0
32,227,"Yeah, the red one? It's cute.",Neutral,0,0,0,0,0,0,0,0
33,229,"NATASHA: (ON RADIO) <i>It's also bulletproof,</i>",Neutral,0,0,0,0,0,0,0,0
34,231,<i>which means private security...</i>,Neutral,0,0,0,0,0,0,0,0
35,232,<i>which means more guns...</i>,Neutral,0,0,0,0,0,0,0,0
36,234,<i>which means more headaches for somebody. Probably us.</i>,Neutral,0,0,0,0,0,0,0,0
37,236,"You guys know I can move things with my mind, right?",Neutral,0,0,0,0,0,0,0,0
38,239,Looking over your shoulder needs to become second nature.,trust,0,0,0,0,0,0,0,1
39,242,Anybody ever tell you you're a little paranoid?,Neutral,0,0,0,0,0,0,0,0
40,244,NATASHA: <i>Not to my face. Why? Did you hear something?</i>,Neutral,0,0,0,0,0,0,0,0
41,247,"STEVE: <i>Eyes on target, folks.</i>",Neutral,0,0,0,0,0,0,0,0
42,248,This is the best lead we've had on Rumlow,Neutral,0,0,0,0,0,0,0,0
43,250,in six months. I don't want to lose him.,anger,1,0,1,1,0,1,1,0
44,251,"(SCOFFS) If he sees us coming, that won't be a problem.",anger,1,1,1,1,0,1,0,0
45,254,He kind of hates us.,joy,0,0,0,0,1,0,0,1
46,255,- (INDISTINCT SHOUTING) - (HORNS HONKING),anger,1,0,0,0,0,0,1,0
