,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,135,Do you know what time it is?,anticipation,0,1,0,0,0,0,0,0
1,137,Can't sleep.,Neutral,0,0,0,0,0,0,0,0
2,138,There are tabs for that.,Neutral,0,0,0,0,0,0,0,0
3,140,"Yeah, but then I'd be sleeping.",Neutral,0,0,0,0,0,0,0,0
4,143,Dreams again?,Neutral,0,0,0,0,0,0,0,0
5,149,Wanna fight?,fear,1,0,0,2,0,1,0,0
6,154,I slipped.,surprise,0,0,0,0,0,0,1,0
7,155,"Right, you slipped",surprise,0,0,0,0,0,0,1,0
8,156,as a result of me punching you in the face.,anger,1,1,0,1,0,1,1,0
9,158,I was already slipping,surprise,0,0,0,0,0,0,1,0
10,159,when you happened to punch me in the face.,anger,1,1,0,1,0,1,1,0
11,160,The two events were not related.,Neutral,0,0,0,0,0,0,0,0
12,162,Tell me about this dream.,Neutral,0,0,0,0,0,0,0,0
13,166,Anything new? - No.,Neutral,0,0,0,0,0,0,0,0
14,173,You have to let go of the past.,Neutral,0,0,0,0,0,0,0,0
15,174,I don't remember my past.,Neutral,0,0,0,0,0,0,0,0
16,175,"It's causing you doubt,",fear,0,0,0,1,0,1,0,1
17,177,and doubt makes you vulnerable.,fear,0,0,0,1,0,1,0,1
18,187,Control it.,Neutral,0,0,0,0,0,0,0,0
19,190,"Lose control again, and you'll have to commune",anger,1,0,1,1,0,1,1,0
20,192,with the Supreme Intelligence.,fear,0,0,0,1,1,0,0,1
21,193,There's nothing more dangerous to a warrior than emotion.,fear,1,0,0,2,0,0,0,0
22,199,Humor is a distraction.,Neutral,0,0,0,0,0,0,0,0
23,204,And anger?,anger,1,0,0,0,0,0,0,0
24,206,Anger only serves the enemy.,anger,2,0,1,1,0,0,0,1
25,218,<i>One hundred twenty days</i>,Neutral,0,0,0,0,0,0,0,0
26,220,<i>since the last Skrull attack.</i>,Neutral,0,0,0,0,0,0,0,0
27,222,<i>Has anyone ever seen</i>,Neutral,0,0,0,0,0,0,0,0
28,224,what the Supreme Intelligence really looks like?,fear,0,0,0,1,1,0,0,1
29,225,No one can look upon the Supreme Intelligence,fear,0,0,0,1,1,0,0,1
30,228,in its true form.,Neutral,0,0,0,0,0,0,0,0
