,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,7,"TONY: <i>A famous man once said,</i>",Neutral,0,0,0,0,0,0,0,0
1,9,"<i>""We create our own demons.""</i>",joy,0,0,0,0,1,0,0,0
2,13,<i>Who said that? What does that even mean?</i>,Neutral,0,0,0,0,0,0,0,0
3,15,<i>Doesn't matter. I said it because he said it.</i>,Neutral,0,0,0,0,0,0,0,0
4,17,"<i>So, now, he was famous</i>",Neutral,0,0,0,0,0,0,0,0
5,19,<i>and it's basically getting said by two well-known guys.</i>,Neutral,0,0,0,0,0,0,0,0
6,22,"<i>I don't, uh...</i> (SIGHS)",Neutral,0,0,0,0,0,0,0,0
7,23,<i>I'm going to start again.</i>,anticipation,0,1,0,0,0,0,0,0
8,27,<i>Let's track this from the beginning.</i>,anticipation,0,1,0,0,0,0,0,0
9,30,('90s POP SONG PLAYING),surprise,0,0,0,0,0,0,1,0
10,32,(SINGING) <i>♪ Yo listen up here's a story</i>,anticipation,0,1,0,0,1,1,0,1
11,35,<i>♪ About a little guy that lives in a blue world</i>,sadness,0,0,0,0,0,1,0,0
12,39,<i>♪ And all day and all night and everything he sees</i>,Neutral,0,0,0,0,0,0,0,0
13,43,<i>♪ Is just blue like him inside and outside</i>,sadness,0,0,0,0,0,1,0,0
14,48,<i>♪ Blue is his house with a blue little window</i>,sadness,0,0,0,0,0,2,0,0
15,51,<i>♪ And a blue Corvette</i>,sadness,0,0,0,0,0,1,0,0
16,53,<i>♪ And everything is blue for him and himself</i>,sadness,0,0,0,0,0,1,0,0
17,56,<i>♪ And everybody around</i>,Neutral,0,0,0,0,0,0,0,0
18,58,<i>♪ 'Cause he ain't got nobody... ♪</i>,Neutral,0,0,0,0,0,0,0,0
19,61,(PEOPLE LAUGHING) (INDISTINCT CONVERSATIONS),joy,0,0,0,0,1,0,1,0
20,64,(HONKS) (CHUCKLING),anticipation,0,1,0,0,1,0,1,1
21,66,Half hour till the ball drops.,Neutral,0,0,0,0,0,0,0,0
22,69,"- Hey, do you wanna... - Tony Stark?",fear,0,0,0,1,0,1,0,1
23,70,"- Great speech, man! HAPPY: - I got you, pal.",anticipation,0,1,0,0,1,0,0,1
24,71,I gave a speech? How was it?,Neutral,0,0,0,0,0,0,0,0
25,73,- Edifying. - Unintelligible.,Neutral,0,0,0,0,0,0,0,0
26,74,- Really? - Mmm-hmm.,Neutral,0,0,0,0,0,0,0,0
27,75,It's my favourite kind. A winning combo.,joy,0,0,0,0,1,0,0,1
28,77,"- Where are we going? - Uh, to town, on each other.",Neutral,0,0,0,0,0,0,0,0
29,78,Probably back in your room,Neutral,0,0,0,0,0,0,0,0
30,80,because I also want to see your research.,Neutral,0,0,0,0,0,0,0,0
31,81,"Okay, you can see my research,",Neutral,0,0,0,0,0,0,0,0
32,82,"but that's... I'm not gonna show you my ""town.""",trust,0,0,0,0,0,0,0,1
33,84,Mr Stark.,trust,0,0,0,0,0,0,0,1
34,85,Ho Yinsen.,Neutral,0,0,0,0,0,0,0,0
35,86,"Ah, I finally met a man called ""Ho.""",anticipation,0,1,1,0,1,0,1,1
36,87,(CHUCKLES HUMOURLESSLY) - Come here.,anticipation,0,1,0,0,1,0,1,1
37,88,"I would like to introduce you to our guest, Dr Wu.",Neutral,0,0,0,0,0,0,0,0
38,92,"- Oh, this guy. Hey. - Mr Stark.",trust,0,0,0,0,0,0,0,1
39,93,(GREETS IN MANDARIN) - You're a heart doctor.,trust,0,0,0,0,0,0,0,2
40,95,She's going to need a cardiologist after I...,Neutral,0,0,0,0,0,0,0,0
41,98,(HONKING),Neutral,0,0,0,0,0,0,0,0
42,100,- Bye. - Perhaps another time?,anticipation,0,2,0,0,0,0,0,0
43,103,"TONY: <i>It started in Bern, Switzerland. 1999.</i>",anticipation,0,1,0,0,0,0,0,0
44,106,(PEOPLE YELLING INDISTINCTLY),anger,1,0,0,1,0,0,1,0
45,108,<i>- The old days.</i> KILLIAN: - Mr Stark!,trust,0,0,0,0,0,0,0,1
46,110,TONY: <i>I never thought they would come back to bite me.</i>,Neutral,0,0,0,0,0,0,0,0
